feature_set,model,n_feat,auprc,roc_auc,brier,recall_at_p80,fit_s,delta_vs_FS0
+ALL,CatBoost,49,0.6208411455767693,0.7807135135135135,0.14808219357605173,0.24923076923076923,11.9,0.013136389244167934
+LEAD,HistGBM,42,0.6191298900220371,0.781525051975052,0.1478346002053605,0.24461538461538462,50.9,0.0015800903201111938
FS0 baseline,HistGBM,26,0.6175497997019259,0.7817858627858628,0.1480561114976974,0.25461538461538463,112.5,0.0
+DOM,HistGBM,33,0.6173575068877891,0.7828094594594595,0.14804289252974576,0.24923076923076923,70.3,-0.00019229281413679633
+ALL,HistGBM,49,0.6168877284344478,0.7802272349272349,0.148285398338979,0.2453846153846154,33.3,-0.0006620712674780815
+LEAD,CatBoost,42,0.6154238835446217,0.7770467775467775,0.14938384470758542,0.25,8.4,0.0077191272120203935
+LEAD,ExtraTrees,42,0.6100102751172075,0.7740031185031185,0.15395383435735166,0.2230769230769231,4.2,0.004580536817383241
+DOM,CatBoost,33,0.6099919794973904,0.776370686070686,0.1502783687783295,0.24,7.3,0.0022872231647890207
+ALL,ExtraTrees,49,0.6082704473085478,0.772972972972973,0.15388393075710263,0.22923076923076924,5.1,0.0028407090087235742
FS0 baseline,CatBoost,26,0.6077047563326013,0.7746249480249481,0.15075258198213667,0.23461538461538461,6.1,0.0
+DOM,ExtraTrees,33,0.6056217762331624,0.7687869022869023,0.15753993881700776,0.2323076923076923,3.9,0.00019203793333810726
FS0 baseline,ExtraTrees,26,0.6054297382998243,0.768633264033264,0.15740612722255556,0.23615384615384616,2.7,0.0
